date,open,high,low,close,volume,change,positive,negative,total
11/30/2018,138.26,140.966,137.36,140.61,25732577,-1,0.420961204,0.125651419,1727
11/29/2018,135.92,139.99,135.66,138.68,24238713,1,0.399619772,0.152851711,2630
11/28/2018,136.28,136.7899,131.85,136.76,29847505,1,0.410530483,0.140934283,2526
11/27/2018,135.75,136.6126,133.71,135,20750318,0,0.395939086,0.163524293,2758
11/26/2018,133,137,132.78,136.38,24263640,-1,0.389210607,0.136543737,3281
11/23/2018,133.65,134.5,131.2551,131.73,11886128,2,0.404761905,0.114363778,2562
11/21/2018,134.4,137.19,134.13,134.82,25469735,-1,0.444181646,0.125827815,2114
11/20/2018,127.03,134.1592,126.85,132.43,41939475,0,0.40625,0.158505155,3104
11/19/2018,137.61,137.75,131.21,131.55,44362729,2,0.35183325,0.257408338,3982
11/16/2018,141.07,141.77,137.77,139.53,37250560,-2,0.408455506,0.134333447,2933
11/15/2018,142.33,144.84,140.83,143.85,30320280,-1,0.38080319,0.168043293,3511
11/14/2018,143.7,145.58,141.55,144.22,22068384,1,0.342891859,0.177156744,4115
11/13/2018,142,144.88,141.62,142.16,15141710,0,0.424187726,0.127075812,2770
11/12/2018,144.48,145.04,140.4899,141.55,18542123,0,0.406529343,0.148076176,2573
11/9/2018,146.75,147.76,144.07,144.96,17326898,-1,0.320677689,0.341702388,4899
11/8/2018,150.49,150.94,146.74,147.87,24145814,-1,0.431304348,0.11826087,2300
11/7/2018,151.57,153.01,149.83,151.53,21877372,-1,0.416398714,0.126205788,2488
11/6/2018,149.31,150.97,148,149.94,16667124,0,0.412851406,0.128514056,2490
11/5/2018,150.1,150.19,147.44,148.68,15969849,0,0.382342471,0.149519402,2809
11/2/2018,151.8,154.13,148.96,150.35,24708695,-1,0.400902749,0.135412392,2437
11/1/2018,151.52,152.75,149.35,151.75,25640786,-1,0.39460501,0.128709056,2595
10/31/2018,155,156.4,148.96,151.79,60101251,0,0.422123331,0.143674507,3146
10/30/2018,139.935,146.64,139.7419,146.22,50528278,-1,0.419016031,0.14870094,3618
10/29/2018,148.5,148.83,139.03,142.09,31336784,2,0.421378092,0.151060071,3396
10/26/2018,145.82,149,143.8,145.37,31303341,-2,0.439138577,0.141073658,3204
10/25/2018,147.73,152.21,147,150.95,22105696,0,0.423231387,0.140871177,3237
10/24/2018,154.28,154.65,145.6,146.04,27744597,1,0.419957311,0.134471718,3748
10/23/2018,151.22,154.77,150.85,154.39,19095032,-2,0.43150289,0.132369942,3460
10/22/2018,154.76,157.34,154.46,154.78,15424658,1,0.41509434,0.149445942,3339
10/19/2018,155.86,157.35,153.55,154.05,19761347,0,0.425106125,0.138265616,1649
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
